objectid,filename,title,date,designer,creator,description,medium,size made,yardage,subject,location,latitude,longitude,source,type,format,rights,rightsstatement
coll001,img_0199.jpg,Wool coat commission,2022-02-21,Papercut Patterns,Lily Ly,Nova coat pattern by Papercut Patterns,Dumas tan wool coating; Liberty Fabrics tana lawn mitsi purple lining; toggle closure,custom,3 yds,textiles; garment; sewing,Graduate Hospital Philadelphia,39.94113469,-75.17477429,personal photograph,physical object,image/jpg,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll002,img_0261.jpg,Knit vest,2022-03-03,Tonje Hodne,Lily Ly,Korshavn basketweave vest pattern by Tonje Hodne,PurlSoho Good Wool in hickory nut,s,2 balls,textiles; garment; knitting,Graduate Hospital Philadelphia,39.94113469,-75.17477429,personal photograph,physical object,image/jpg,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll003,img_0262.jpeg,Bucket hat,2022-03-03,Elbe Textiles,Lily Ly,Sorrento bucket hat pattern by Elbe Textiles,The Fabric Store jumbo cotton corduroy in gingerbread,s,.5 yds,textiles; accessories; sewing,Graduate Hospital Philadelphia,39.94113469,-75.17477429,personal photograph,physical object,image/jpeg,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll004,img_0418.jpg,Straight leg jeans,2020-02-02,Megan Nielsen,Lily Ly,Dawn jeans pattern by Megan Nielsen,Threadbare Fabrics 11oz tencel blend denim in indigo,4,2 yds,textiles; garment; sewing,Bella Vista Philadelphia,39.93988816,-75.15645375,personal photograph,physical object,image/jpg,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll005,img_0442.jpg,Craft workshop at Joseph E. Coleman Library,2023-07-15,,Lily Ly,Participants at a craft workshop at Joseph E. Coleman Northwest Regional Library meeting room,,,,event,Germantown Philadelphia,40.03425398,-75.17622651,personal photograph,event,image/jpg,No Copyright - United States,https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll006,img_0472.jpg,Knit summer tee in cream,2022-06-10,Jessie Maed Designs,Lily Ly,Cozy classic light pattern by Jessie Maed Designs,PurlSoho cattail silk in moon white,36,2 balls,textiles; garment; knitting,Graduate Hospital Philadelphia,39.94113469,-75.17477429,personal photograph,physical object,image/jpg,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll007,img_0588.jpg,Barrel leg pants in lime green,2022-04-23,Style Arc,Lily Ly,Bob pants pattern by Style Arc,Baldwins lime green linen,36,2.5 yds,textiles; garment; sewing,Graduate Hospital Philadelphia,39.94113469,-75.17477429,personal photograph,physical object,image/jpg,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll008,img_0635.jpg,Tee with exposed seams,2022-04-27,Cool Stitches,Lily Ly,Eva top pattern by Cool Stitches,Fabscrap green knit jersey,s,1.5 yds,textiles; garment; sewing,Graduate Hospital Philadelphia,39.94113469,-75.17477429,personal photograph,physical object,image/jpg,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll009,img_0720.jpg,Reupholstered chairs,2021-05-01,self-drafted,Lily Ly,Self-drafted chair reupholstery,Jomar vinyl; Jomar wool,custom,5 yds,textiles; furniture; sewing,Graduate Hospital Philadelphia,39.94113469,-75.17477429,personal photograph,physical object,image/jpg,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll010,img_0801.jpg,Gray bulky sweater,2021-10-27,Veera Valimaki,Lily Ly,Venlig pullover pattern by Veera Valimaki,Woolfolk Flette Bulky wool in gray,2,4 balls,textiles; garment; knitting,Graduate Hospital Philadelphia,39.94113469,-75.17477429,personal photograph,physical object,image/jpg,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
